Id,road,cultivation,agriculture,haze,clear,habitation,bare_ground,blooming,partly_cloudy,selective_logging,blow_down,primary,slash_burn,artisinal_mine,water,conventional_mine,cloudy
train_0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_4,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_8,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_10,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
train_13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_18,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_20,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_22,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_24,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
train_27,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_29,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_31,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_33,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_35,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_37,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_39,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_41,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_44,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_46,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
train_48,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_51,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_53,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_55,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_57,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
train_59,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_60,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_62,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_64,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_66,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_69,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_71,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_74,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_76,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_79,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_81,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_83,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_85,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_88,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_90,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_92,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_94,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
train_96,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_99,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_100,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
train_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_103,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0
train_106,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_109,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_112,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_114,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_116,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_119,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_121,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_123,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
train_125,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_127,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_129,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_131,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_132,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_135,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_136,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
train_138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
train_139,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_141,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_143,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train_145,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_147,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_149,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_151,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
train_154,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_156,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_158,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
train_160,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_162,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
train_164,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_166,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
train_169,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
train_171,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
